CurveID,Jmax25,Rdlight25,Resistwp25,Resistch25,gamma*25,phifactor,thetafactor,betaPSII,Flu.Anet.SumSqure,Flu.Electron.SumS
NA,umolm-2s-1,umolm-2s-1,Pasm2umol-1,Pasm2umol-1,PaNA,,NA,NA,Flu.Anet.SumSqure,Flu.Electron.SumS
Besc-135dup.csv,67.667929,1.855029,1.158849,0,1.254319,1.098431,0.826061,0.199166,1.996351,0.028125
besc-183dup.csv,-9999,0.440239,16.430825,0,0.243006,-9999,-9999,0.256308,0.862444,-9999
besc-220.csv,55.564832,2.301268,2.857429,0,2.17477,1.013751,0.897775,0.375797,0.762765,0.034197
besc-24.csv,25.11655,0,0,0,0,1.063695,0.710686,0.188179,8.089604,0
besc-350.csv,46.943741,1.485572,3.329135,0,2.798562,0.973738,0.881669,0.387514,0.192751,0.158977
Besc-36dup.csv,49.377511,0.709713,0,0,0,0.913255,0.770235,0.187342,1.520115,0.124939
Besc-881dup.csv,46.004245,0,2.009876,0,1.837198,0.935957,0.844915,0.303269,0.410447,0.025955
Besc-886dup.csv,53.752424,0.593327,2.300477,0,0.848967,1.056883,0.397049,0.170759,0.800209,0
Besc-906.csv,51.35549,2.107266,3.230371,0,0.906411,0.992856,0.935725,0.351381,2.686834,2.289095
cnbf-28-4dup.csv,29.529309,0.351012,5.727947,0,0,1.027752,0.700221,0.270925,1.209725,0
GW-11027dup.csv,77.721276,1.206244,2.057043,0,1.604984,0.991687,0.773339,0.285469,1.974886,0.029768
GW-11053.csv,52.514915,4.626422,0.353941,2.396592,0,0.986444,0.96836,0.307534,0.329559,5.553309
GW-9841.csv,51.566217,1.425225,3.150678,0,0,0.981287,0.901505,0.33679,0.902283,0.063258
GW-9892.csv,102.701406,1.158,1.073888,0,3.854755,1.026947,0.895549,0.514524,1.009774,2.02603
GW-9895.csv,89.631891,1.087328,2.715123,0,4.449801,0.913844,0.865664,0.8732,3.642261,0.187773
GW-9917.csv,23.179545,1.334173,0,0,0,0.965992,0.884477,0.156968,0.949843,0.895679
HARB-26-4.csv,18.035163,1.276267,8.676661,0,0.026759,0.947834,0.948897,0.290343,0.20422,0.071312
hopf-27-5-26-5dup.csv,81.986843,0,1.507262,0,1.150003,1.068364,0.65564,0.256402,3.576672,0.000182
hopg-27-5dup.csv,61.257447,3.083977,1.896093,0,0.113307,1.038262,0.899564,0.301778,0.687955,0.104477
hrsp-27-4dup.csv,60.260016,1.696771,0,0,0,1.047459,0.893684,0.314597,2.625396,0.006903
KLNC-20-2dup2.csv,-9999,0,0.698323,0.684715,0,-9999,-9999,0.16061,3.274164,-9999
KLNC-20-2dup.csv,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
klnd-20-3dup.csv,33.568957,0.117876,0,0,0,0.941746,0.901683,0.270455,3.392937,0.848717
klng-20-3dup.csv,64.652107,3.553645,2.703253,0,0,0.998195,0.940068,0.336641,2.409549,4.393441
klng-20-4-33-7dup.csv,139.596852,0.792605,0.849494,0,10,0.944467,0.85719,0.952966,0.171696,0.178762
klng-20-7dup.csv,10.442806,0.434826,0,0,0,0.622371,1.170856,0.216075,1.493237,1.391458
lila-26-4-27-16dup.csv,126.518626,0.659763,0.355804,0,2.075327,1.027583,0.749169,0.373652,3.35785,0.298046
lila-26-5dup.csv,95.30547,1.621218,0.988347,0,1.895685,1.068069,0.903193,0.375968,1.24345,1.28321
mcmn-27-3dup.csv,72.414214,1.253311,1.62952,0,0.100849,1.061107,0.742298,0.324819,2.164302,0.007946
mcmn-27-5-9-30dup.csv,82.237389,1.613851,1.097318,0,1.615314,0.977601,0.965357,0.377456,1.43355,21.425912
NHTA-27-4-20-20dup.csv,151.974721,0.141325,0.417235,0,3.580831,1.048687,0.806185,0.472383,2.060521,0.667069
NHTB-27-4.csv,16.138032,0.929518,0,0,0,0.930902,0.938762,0.265525,3.713493,0.119721
SKWA-24-3.csv,54.229648,3.313551,3.341205,0,0.064412,0.989131,0.975422,0.341873,1.025571,8.990276
SKWB-24-5-15-11dup.csv,13.393021,0.807316,0,0,0,0.894424,0.812815,0.231766,1.558952,0.002085
SKWD-24-1-19-4dup.csv,107.772592,6.064867,2.098156,0,2.500427,1.075588,0.843719,0.381614,0.292772,2.489147
SLMC-28-1.csv,65.005073,3.352785,3.047479,0,0.218908,1.04212,0.870413,0.362705,0.656013,0.025851
sqma-25-1dup.csv,12.746467,0.934793,0,0,0,0.617798,0.878818,0.33016,1.557375,0.739879
sqmb-25-4dup.csv,37.176562,4.980636,8.243754,0.993733,0,0.857195,0.866912,0.366696,2.393691,0.185722
WELC-27-1.csv,16.886377,1.152414,0.213425,0,0.157802,0.892309,1.109366,0.30945,0.216372,0.015313
whte28-4-13-12dup.csv,192.961526,2.613042,1.599965,0,2.618809,1.066599,0.420648,0.438903,0.521813,0.000437
YALE-27-2.csv,35.159475,1.986239,4.405358,0,0.004313,0.9123,0.985771,0.289424,1.163011,6.716432
